mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad,good,good,good,good,good,average,average,average,average,average,bad,bad,bad,bad,bad
zenith_angle,,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60,0,15,30,45,60
ao_mode,,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100H,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_100J,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,LGS_STRAP,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,NGS_SH,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_100J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_80J,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_100H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H,PyWFS_80H
band,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
0.01,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,3.14982184,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.872887909,2.874929079,2.883197506,2.90501383,2.971063575,2.880399981,2.882256211,2.890230147,2.911678053,2.977339381,2.896037759,2.897533211,2.904936905,2.925678293,2.990612606,2.872887909,2.874929079,2.883197506,2.90501383,2.971063575,2.880399981,2.882256211,2.890230147,2.911678053,2.977339381,2.896037759,2.897533211,2.904936905,2.925678293,2.990612606,2.868572833,2.870600348,2.878824275,2.900548122,2.966407422,2.873672452,2.875506941,2.883410726,2.904713375,2.970076305,2.884131707,2.885587119,2.892864009,2.913344634,2.977745781,2.868572833,2.870600348,2.878824275,2.900548122,2.966407422,2.873672452,2.875506941,2.883410726,2.904713375,2.970076305,2.884131707,2.885587119,2.892864009,2.913344634,2.977745781
1,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,3.14982184,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.872887909,2.874929079,2.883197506,2.90501383,2.971063575,2.880399981,2.882256211,2.890230147,2.911678053,2.977339381,2.896037759,2.897533211,2.904936905,2.925678293,2.990612606,2.872887909,2.874929079,2.883197506,2.90501383,2.971063575,2.880399981,2.882256211,2.890230147,2.911678053,2.977339381,2.896037759,2.897533211,2.904936905,2.925678293,2.990612606,2.868572833,2.870600348,2.878824275,2.900548122,2.966407422,2.873672452,2.875506941,2.883410726,2.904713375,2.970076305,2.884131707,2.885587119,2.892864009,2.913344634,2.977745781,2.868851659,2.870880056,2.879106858,2.900836681,2.966708287,2.8741071,2.875942993,2.88385131,2.905163342,2.97054555,2.884900689,2.886358686,2.893643763,2.914141224,2.978576799
2,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,3.14982184,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.872887909,2.874929079,2.883197506,2.90501383,2.971063575,2.880399981,2.882256211,2.890230147,2.911678053,2.977339381,2.896037759,2.897533211,2.904936905,2.925678293,2.990612606,2.874365339,2.876411176,2.884694818,2.906542768,2.972657682,2.882699727,2.884563368,2.89256122,2.914058667,2.979821855,2.900093977,2.901602987,2.90904965,2.929879456,2.994994814,2.869734607,2.871765799,2.880001706,2.90175045,2.967661027,2.875483485,2.877323825,2.885246491,2.906588238,2.972031493,2.887335799,2.888801981,2.896112982,2.916663757,2.981208357,2.871556612,2.873593565,2.881848248,2.903636018,2.969626992,2.878321553,2.88017105,2.888123268,2.909526219,2.975095268,2.892348851,2.893831835,2.90119607,2.921856356,2.986625055
3,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,3.14982184,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.879043866,2.881104484,2.889436305,2.911384404,2.977705687,2.889982258,2.891869364,2.899942953,2.921597278,2.987683022,2.912938666,2.914490613,2.922073341,2.94318314,3.008871807,2.884235034,2.886312003,2.894697141,2.916756119,2.983306136,2.898039308,2.899952235,2.908109211,2.929936378,2.996378059,2.927063944,2.928662604,2.936393546,2.957808691,3.024124187,2.877326296,2.879381491,2.887695632,2.909606983,2.975852548,2.887308768,2.889187263,2.897233061,2.918829824,2.984797224,2.908223515,2.909759708,2.917292514,2.938299587,3.003777933,2.881967366,2.884037189,2.892399024,2.914409556,2.980859692,2.894515487,2.896417103,2.904537557,2.926289052,2.992575022,2.920870895,2.922448996,2.930114745,2.951395651,3.017435907
4,,2.934157699,2.938517387,2.954603288,2.993318509,3.097284083,2.966684926,2.971866924,2.990987897,3.036632698,3.157061352,3.030320836,3.037124851,3.062532126,3.121971481,3.27783085,2.93603317,2.940592209,2.957246541,2.998240305,3.1136575,2.969515103,2.974838305,2.995226383,3.044892536,3.189803272,3.036413073,3.043967804,3.072964883,3.144266892,3.40561988,3.006610101,3.011046503,3.027328524,3.066174735,3.168610869,3.079392908,3.084678241,3.104097457,3.14982184,3.267207735,3.225818777,3.232694804,3.257976796,3.316514053,3.461606958,2.865996934,2.868016295,2.876213643,2.897882263,2.963627862,2.869653748,2.871475234,2.879337071,2.900552876,2.965737472,2.877009435,2.878440836,2.885641705,2.905966041,2.970047835,2.900673731,2.902802481,2.911356454,2.933766549,3.001040892,2.9235533,2.925547995,2.933969027,2.956343526,3.023912343,2.97179399,2.973540575,2.981740861,3.004122934,3.072423391,2.913731713,2.915901249,2.924588334,2.947275611,3.015123568,2.943657371,2.945715543,2.954341888,2.977142758,3.045593489,3.006476435,3.008334518,3.016889737,3.040005365,3.109822153,2.896664088,2.898780233,2.9072931,2.929617703,2.996715646,2.917336765,2.919311595,2.927668462,2.94990994,3.017204716,2.960920932,2.962631743,2.970718475,2.99286652,3.060686157,2.908712856,2.910866667,2.919502452,2.942082976,3.00971037,2.935902244,2.937935786,2.946482522,2.969118222,3.037228043,2.993005198,2.994819492,3.00323552,3.026063888,3.095288721
